DEPT,ECGR,ATRX,ATRT,NPHI,CAL1,HDAR,HROM,DTSM,DTCO
4600.5,42.8228,3.5445,3.2769,12.4,6.0635,6.207,2.5112,132.6781,80.412
4601.0,60.1452,2.7997,2.6506,15.3,6.0765,6.2088,2.5277,135.1772,82.5646
4601.5,36.4007,2.8454,2.7274,12.28,6.0627,6.207,2.5127,114.1906,72.5366
4602.0,35.3279,3.5764,3.4379,10.16,6.0711,6.2088,2.5271,114.2432,70.752
4602.5,64.031,3.5706,3.4355,10.93,6.0625,6.2088,2.5094,133.2964,79.0781
4603.0,65.7979,2.8265,2.7658,15.13,6.0635,6.207,2.512,134.8186,81.1082
4603.5,51.9012,2.634,2.6342,13.93,6.0574,6.2088,2.5154,123.0868,76.852
4604.0,40.7956,2.9636,2.8827,11.91,6.1044,6.2106,2.4836,117.1739,74.4322
4604.5,41.0045,3.4718,3.2614,12.24,6.0755,6.207,2.4905,119.1929,74.3147
4605.0,48.8515,3.6405,3.3666,12.78,6.1053,6.2106,2.4951,125.0619,77.0949
4605.5,45.2134,3.7086,3.3231,12.87,6.1242,6.2124,2.5182,119.7927,74.5228
4606.0,39.7119,3.9585,3.5113,10.23,6.0949,6.2088,2.5005,111.8366,69.8249
4606.5,26.1454,4.2017,3.7555,8.25,6.0656,6.2088,2.4925,105.1568,68.947
4607.0,57.3895,3.7245,3.2875,18.71,6.0627,6.2088,2.4931,126.8903,78.3873
4607.5,39.2164,3.3036,3.0822,11.49,6.111,6.207,2.5059,120.1519,72.7598
4608.0,25.5444,5.016,4.5536,10.4,6.0994,6.2088,2.5194,115.3695,68.9256
4608.5,64.4568,4.8512,4.379,10.23,6.0788,6.2142,2.4944,124.9381,76.7448
4609.0,49.7263,3.2372,3.1224,10.4,6.1309,6.216,2.5112,117.6694,73.0589
4609.5,41.4126,3.4604,3.425,14.46,6.0941,6.2142,2.5045,119.8348,74.9258
4610.0,49.0143,3.4391,3.6068,10.7,6.0788,6.2071,2.4958,114.866,73.2611
4610.5,35.7509,3.6504,3.8701,10.78,6.0888,6.216,2.4835,112.3051,68.9116
4611.0,39.5603,4.0463,4.2242,11.93,6.0734,6.2052,2.4677,114.4387,72.5107
4611.5,33.0469,4.4409,4.4558,15.1,6.0666,6.2055,2.5123,112.1236,69.0229
4612.0,51.4694,4.6977,4.5457,12.17,6.065,6.2088,2.4883,122.0515,74.4451
4612.5,53.363,3.759,3.702,10.66,6.0882,6.2124,2.5055,118.765,74.3905
4613.0,33.4631,3.933,3.8581,14.25,6.101,6.2088,2.4898,115.4948,70.5741
4613.5,48.7793,3.9113,3.8251,12.13,6.0728,6.2124,2.5219,125.6719,78.3819
4614.0,50.0153,3.1547,3.1234,8.19,6.0788,6.2106,2.5406,128.3148,79.2699
4614.5,27.9285,3.6807,3.7035,7.08,6.0842,6.2106,2.5118,105.3563,66.3197
4615.0,32.9243,5.8841,5.8548,10.43,6.0275,6.2052,2.53,112.5174,68.0301
4615.5,53.4085,3.7794,3.7656,7.85,6.0743,6.2122,2.5182,127.0163,80.4417
4616.0,34.9957,4.1385,3.9988,9.45,6.0282,6.2055,2.5061,105.1788,64.6529
4616.5,56.4016,6.5421,4.8308,13.11,5.9992,6.2124,2.4998,119.5677,70.0336
4617.0,67.7949,3.2102,2.8796,15.39,5.9915,6.2124,2.5134,136.5056,80.8214
4617.5,63.6018,2.7367,2.6396,13.34,6.0244,6.2088,2.5069,134.1831,80.9097
4618.0,48.3785,2.9205,2.8406,10.4,6.0627,6.2142,2.5019,122.7866,77.4514
4618.5,34.3145,3.5562,3.1255,11.87,6.0344,6.2088,2.5063,113.4476,70.904
4619.0,40.3029,4.1096,3.6532,13.0,6.0332,6.2016,2.5384,115.2171,73.62
4619.5,44.4429,3.9073,4.1444,10.04,5.9999,6.2464,2.5632,121.7787,74.9134
4620.0,42.9911,3.6417,4.383,11.29,6.0663,6.2464,2.6418,113.6786,66.4423
4620.5,40.9779,4.202,4.8602,8.68,6.0734,6.2874,2.6407,110.2764,62.0701
